Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
01-Feb-2024,EQ,1465.05,1473.60,1456.05,1462.55,1466.50,1466.35,1465.35,1757.50,1380.25,16345370,23951731259.20,395148
31-Jan-2024,EQ,1439.50,1474.95,1436.80,1444.30,1462.65,1462.55,1462.25,1757.50,1380.25,32880520,48079551289.50,548526
30-Jan-2024,EQ,1454.55,1463.20,1440.90,1454.65,1444.70,1444.30,1447.91,1757.50,1380.25,20864384,30209849168.35,451375
29-Jan-2024,EQ,1448.05,1462.80,1445.80,1434.90,1456.80,1454.65,1454.14,1757.50,1380.25,32822749,47728790185.85,694082
25-Jan-2024,EQ,1452.50,1457.35,1419.40,1455.90,1440.70,1434.90,1434.16,1757.50,1380.25,49470926,70949159079.50,787699
24-Jan-2024,EQ,1380.25,1458.45,1380.25,1427.35,1456.30,1455.90,1435.74,1757.50,1380.25,43002202,61740125439.00,817417
23-Jan-2024,EQ,1465.00,1474.70,1425.00,1478.85,1430.95,1427.35,1442.66,1757.50,1425.00,57734701,83291508720.05,1415782
20-Jan-2024,EQ,1483.20,1495.70,1476.00,1470.65,1480.65,1478.85,1483.92,1757.50,1460.25,12920293,19172637247.30,403196
19-Jan-2024,EQ,1505.95,1510.25,1468.40,1486.15,1474.90,1470.65,1483.88,1757.50,1460.25,54800269,81316862185.55,1275220
18-Jan-2024,EQ,1494.00,1515.00,1480.05,1537.50,1490.00,1486.15,1495.03,1757.50,1460.25,80535465,120402678844.55,1582497
17-Jan-2024,EQ,1570.00,1596.80,1528.40,1679.15,1542.15,1537.50,1565.65,1757.50,1460.25,85072618,133193618859.55,2098772
16-Jan-2024,EQ,1673.00,1683.65,1658.10,1672.80,1678.00,1679.15,1672.44,1757.50,1460.25,12661250,21175143184.95,347404
15-Jan-2024,EQ,1647.70,1680.90,1643.60,1641.20,1679.70,1672.80,1666.61,1757.50,1460.25,14160178,23599525731.75,414759
12-Jan-2024,EQ,1652.00,1656.00,1633.60,1649.00,1643.95,1641.20,1645.10,1757.50,1460.25,9886776,16264760030.85,278690
11-Jan-2024,EQ,1660.00,1662.90,1643.00,1655.95,1649.30,1649.00,1653.30,1757.50,1460.25,9157005,15139271150.70,230772
10-Jan-2024,EQ,1643.00,1659.95,1641.40,1650.50,1656.00,1655.95,1653.21,1757.50,1460.25,8057912,13321422833.20,173498
09-Jan-2024,EQ,1667.15,1677.80,1646.75,1663.45,1650.95,1650.50,1660.84,1757.50,1460.25,12663444,21031958360.50,269602
08-Jan-2024,EQ,1678.50,1682.35,1660.00,1682.20,1662.90,1663.45,1671.84,1757.50,1460.25,8999235,15045304192.30,368430
